fajr,dhuhr,asr,maghrib,isha
5:29,12:17,15:48,17:20,18:50
5:29,12:17,15:48,17:20,18:50
5:29,12:17,15:48,17:20,18:50
5:29,12:17,15:48,17:20,18:50
5:29,12:17,15:48,17:20,18:50
5:29,12:17,15:48,17:20,18:50
5:29,12:17,15:48,17:20,18:50
5:29,12:17,15:48,17:20,18:50
5:29,12:17,15:48,17:20,18:50
5:29,12:17,15:48,17:20,18:50
5:31,12:22,15:52,17:27,18:57
5:31,12:22,15:52,17:27,18:57
5:31,12:22,15:52,17:27,18:57
5:31,12:22,15:52,17:27,18:57
5:31,12:22,15:52,17:27,18:57
5:31,12:22,15:52,17:27,18:57
5:31,12:22,15:52,17:27,18:57
5:31,12:22,15:52,17:27,18:57
5:31,12:22,15:52,17:27,18:57
5:31,12:22,15:52,17:27,18:57
5:30,12:25,15:58,17:35,19:05
5:30,12:25,15:58,17:35,19:05
5:30,12:25,15:58,17:35,19:05
5:30,12:25,15:58,17:35,19:05
5:30,12:25,15:58,17:35,19:05
5:30,12:25,15:58,17:35,19:05
5:30,12:25,15:58,17:35,19:05
5:30,12:25,15:58,17:35,19:05
5:30,12:25,15:58,17:35,19:05
5:30,12:25,15:58,17:35,19:05
5:30,12:25,15:58,17:35,19:05
5:27,12:27,16:01,17:43,19:13
5:27,12:27,16:01,17:43,19:13
5:27,12:27,16:01,17:43,19:13
5:27,12:27,16:01,17:43,19:13
5:27,12:27,16:01,17:43,19:13
5:27,12:27,16:01,17:43,19:13
5:27,12:27,16:01,17:43,19:13
5:27,12:27,16:01,17:43,19:13
5:27,12:27,16:01,17:43,19:13
5:27,12:27,16:01,17:43,19:13
5:22,12:28,16:05,17:50,19:20
5:22,12:28,16:05,17:50,19:20
5:22,12:28,16:05,17:50,19:20
5:22,12:28,16:05,17:50,19:20
5:22,12:28,16:05,17:50,19:20
5:22,12:28,16:05,17:50,19:20
5:22,12:28,16:05,17:50,19:20
5:22,12:28,16:05,17:50,19:20
5:22,12:28,16:05,17:50,19:20
5:22,12:28,16:05,17:50,19:20
